transaction_id,transaction_date,transaction_time,store_id,store_name,region,product_id,product_name,category,quantity,unit_price,total_amount,discount_percent,discount_amount,final_amount,payment_method,customer_id,customer_segment,sales_person_id,promotion_code
TXNBD708E3D684D,2024-08-14,06:21:20,ST008,New Daniel Mall,Central,PRD7658,Bicycle,Sports,1,183.3,183.3,20,36.66,146.64,Debit Card,CUST41029,Standard,EMP919,WELCOME15
TXN6EE9837F8CF4,2023-09-08,06:21:20,ST011,Amberfort Mall,West,PRD5371,Curtains,Home & Garden,4,403.1,1612.4,5,80.62,1531.78,Debit Card,CUST24168,VIP,EMP993,
TXN3E2C6458A28C,2024-12-07,06:21:20,ST015,West Audreyland Mall,South,PRD4652,Yoga Mat,Sports,3,159.54,478.62,5,23.93,454.69,Credit Card,CUST96511,Standard,EMP508,
TXN5F41BEB644DB,2023-10-24,06:21:20,ST017,East Ann Mall,Central,PRD6425,Biography,Books,4,342.96,1371.84,20,274.37,1097.47,Credit Card,CUST25118,Budget,EMP282,
TXN3994C2239F42,2024-05-11,06:21:20,ST020,Lake Gary Mall,Central,PRD8149,Smartphone,Electronics,4,179.39,717.56,10,71.76,645.8,Credit Card,CUST60488,Standard,EMP360,
TXN62ACFC83BB22,2024-11-02,06:21:20,ST018,North Erika Mall,Central,PRD6409,Smart Watch,Electronics,2,188.47,376.94,0,0.0,376.94,Cash,CUST96951,Premium,EMP837,BULK5
TXN28BA2ECDA63B,2024-06-25,06:21:20,ST013,West Reginaldfort Mall,North,PRD7888,Perfume,Beauty,3,281.66,844.98,5,42.25,802.73,Digital Wallet,CUST98777,Standard,EMP730,
TXN8053E6615187,2024-10-02,06:21:20,ST010,Harveyfurt Mall,Central,PRD6279,Tablet,Electronics,2,220.65,441.3,20,88.26,353.04,Digital Wallet,CUST67905,VIP,EMP791,
TXN84E67FF8B7E3,2024-12-10,06:21:20,ST003,Rodriguezhaven Mall,East,PRD6491,Curtains,Home & Garden,3,262.57,787.71,20,157.54,630.17,Credit Card,CUST40784,Budget,EMP330,SAVE10
TXN40D058E54D1F,2023-09-08,06:21:20,ST016,Port Michael Mall,South,PRD8461,Laptop,Electronics,5,426.37,2131.85,0,0.0,2131.85,Digital Wallet,CUST92544,Standard,EMP835,
TXN393DADBFD513,2025-01-01,06:21:20,ST005,Welchhaven Mall,South,PRD7965,Foundation,Beauty,1,447.4,447.4,0,0.0,447.4,Debit Card,CUST33053,VIP,EMP151,
TXN1A787F7CC123,2023-12-16,06:21:20,ST015,West Audreyland Mall,South,PRD6198,Engine Oil,Automotive,5,494.07,2470.35,20,494.07,1976.28,Digital Wallet,CUST90301,VIP,EMP950,WELCOME15
TXN1574C8723C6D,2024-01-23,06:21:20,ST009,Chavezfurt Mall,North,PRD9540,GPS Device,Automotive,2,421.53,843.06,10,84.31,758.75,Digital Wallet,CUST92149,Standard,EMP381,
TXNFBF75F545FBF,2025-08-13,06:21:20,ST009,Chavezfurt Mall,North,PRD2320,Cookbook,Books,3,166.66,499.98,20,100.0,399.98,Debit Card,CUST29769,Standard,EMP492,
TXN1DD083E57692,2025-08-06,06:21:20,ST014,Timothychester Mall,North,PRD7812,Running Shoes,Sports,4,172.13,688.52,15,103.28,585.24,Credit Card,CUST37110,VIP,EMP498,BULK5
TXN646594DE9A73,2025-07-26,06:21:20,ST013,West Reginaldfort Mall,North,PRD5892,Smart Watch,Electronics,4,12.89,51.56,10,5.16,46.4,Digital Wallet,CUST64921,Standard,EMP599,
TXN1D3B6FE6EF65,2024-11-02,06:21:20,ST013,West Reginaldfort Mall,North,PRD3704,Car Tire,Automotive,3,337.75,1013.25,15,151.99,861.26,Digital Wallet,CUST26728,Premium,EMP503,
TXN042737A5C61B,2025-06-22,06:21:20,ST014,Timothychester Mall,North,PRD1823,Smartphone,Electronics,2,434.76,869.52,5,43.48,826.04,Cash,CUST59689,Budget,EMP316,
TXN4F845DFE1B58,2024-07-24,06:21:20,ST014,Timothychester Mall,North,PRD1317,Perfume,Beauty,3,419.11,1257.33,15,188.6,1068.73,Credit Card,CUST55870,Standard,EMP765,
TXN7898BE7C9D11,2025-06-11,06:21:20,ST008,New Daniel Mall,Central,PRD3496,Smartphone,Electronics,2,421.22,842.44,20,168.49,673.95,Debit Card,CUST26544,VIP,EMP785,
TXN0E59871B4AED,2024-03-24,06:21:20,ST009,Chavezfurt Mall,North,PRD2876,Floor Mats,Automotive,3,92.22,276.66,20,55.33,221.33,Debit Card,CUST50768,Premium,EMP692,
TXNEE82817B7FBF,2024-06-28,06:21:20,ST007,East Seanborough Mall,North,PRD2669,Skincare Set,Beauty,1,300.13,300.13,5,15.01,285.12,Cash,CUST99687,Premium,EMP915,
TXN0B9816ECA721,2024-08-03,06:21:20,ST012,Campbellfurt Mall,North,PRD1207,Nail Polish,Beauty,1,257.92,257.92,10,25.79,232.13,Digital Wallet,CUST74251,Premium,EMP543,WELCOME15
TXNB109F3543501,2025-08-07,06:21:20,ST006,Jenniferchester Mall,South,PRD9817,Kitchen Set,Home & Garden,5,483.08,2415.4,10,241.54,2173.86,Digital Wallet,CUST70931,VIP,EMP945,SUMMER20
TXN6B898FCE9C40,2024-07-09,06:21:20,ST009,Chavezfurt Mall,North,PRD7209,Running Shoes,Sports,4,129.49,517.96,15,77.69,440.27,Cash,CUST13761,VIP,EMP971,
TXN3FC1F0C19CCB,2024-12-25,06:21:20,ST009,Chavezfurt Mall,North,PRD5526,Dumbbell,Sports,3,147.03,441.09,20,88.22,352.87,Credit Card,CUST77715,Standard,EMP187,
TXNCE6B5B2AB3D8,2024-10-03,06:21:20,ST008,New Daniel Mall,Central,PRD8342,Car Charger,Automotive,4,326.49,1305.96,15,195.89,1110.07,Credit Card,CUST22196,Budget,EMP326,
TXN1CFAF8D618E8,2024-04-19,06:21:20,ST019,Lake Kristieborough Mall,North,PRD6632,Magazine,Books,3,241.9,725.7,20,145.14,580.56,Digital Wallet,CUST82140,Budget,EMP460,SUMMER20
TXN37AA385BB24F,2024-06-22,06:21:20,ST004,Lake Michaelberg Mall,South,PRD4033,Cookbook,Books,2,164.62,329.24,20,65.85,263.39,Debit Card,CUST38361,VIP,EMP383,BULK5
TXN80E6D6BDFF0F,2025-04-16,06:21:20,ST007,East Seanborough Mall,North,PRD5952,Fiction Novel,Books,3,121.47,364.41,5,18.22,346.19,Credit Card,CUST80010,Standard,EMP380,
TXNBBEAB44FF357,2023-10-08,06:21:20,ST005,Welchhaven Mall,South,PRD5658,Magazine,Books,4,60.27,241.08,0,0.0,241.08,Digital Wallet,CUST72746,VIP,EMP448,
TXN6B7310BF9505,2023-10-05,06:21:20,ST004,Lake Michaelberg Mall,South,PRD1878,Technical Manual,Books,1,206.35,206.35,0,0.0,206.35,Debit Card,CUST29555,Budget,EMP187,
TXN33929AE66449,2025-03-07,06:21:20,ST020,Lake Gary Mall,Central,PRD7232,Hair Dryer,Beauty,5,120.59,602.95,20,120.59,482.36,Digital Wallet,CUST68028,Budget,EMP980,
TXNDD8FBD07D9C2,2024-10-26,06:21:20,ST020,Lake Gary Mall,Central,PRD4404,Children Book,Books,1,308.72,308.72,0,0.0,308.72,Debit Card,CUST44687,Premium,EMP260,
TXN1BC811BBA388,2025-03-01,06:21:20,ST001,Port Jessica Mall,North,PRD8699,Jeans,Clothing,4,230.75,923.0,20,184.6,738.4,Cash,CUST14278,Standard,EMP395,WELCOME15
TXN385A4E655FC6,2023-10-25,06:21:20,ST019,Lake Kristieborough Mall,North,PRD4683,Dumbbell,Sports,2,218.32,436.64,20,87.33,349.31,Debit Card,CUST44816,Standard,EMP173,
TXNA17B30369BFA,2024-06-23,06:21:20,ST004,Lake Michaelberg Mall,South,PRD5460,Technical Manual,Books,4,347.45,1389.8,15,208.47,1181.33,Digital Wallet,CUST67377,Premium,EMP712,
TXN5E24869E3E9A,2024-10-29,06:21:20,ST009,Chavezfurt Mall,North,PRD1339,Building Blocks,Toys,1,54.75,54.75,20,10.95,43.8,Cash,CUST85529,Premium,EMP881,WELCOME15
TXNFED1780E1BEC,2025-01-26,06:21:20,ST006,Jenniferchester Mall,South,PRD2494,Car Cover,Automotive,5,223.58,1117.9,15,167.69,950.21,Digital Wallet,CUST55607,VIP,EMP441,
TXNA1BEC77B8133,2023-11-29,06:21:20,ST014,Timothychester Mall,North,PRD1601,Plant Pot,Home & Garden,4,151.23,604.92,15,90.74,514.18,Digital Wallet,CUST21542,Budget,EMP358,
TXN77DFAA8D5B15,2024-09-30,06:21:20,ST018,North Erika Mall,Central,PRD9494,Camera,Electronics,4,212.49,849.96,5,42.5,807.46,Cash,CUST91609,VIP,EMP740,
TXND647D6A531FD,2023-10-05,06:21:20,ST018,North Erika Mall,Central,PRD8941,Dumbbell,Sports,2,464.56,929.12,15,139.37,789.75,Credit Card,CUST13783,Standard,EMP826,
TXN9A75B6C90DF1,2025-02-28,06:21:20,ST014,Timothychester Mall,North,PRD8560,Smart Watch,Electronics,1,120.1,120.1,0,0.0,120.1,Credit Card,CUST94896,Standard,EMP610,SUMMER20
TXNC2BFF2B27831,2025-01-16,06:21:20,ST016,Port Michael Mall,South,PRD3369,Technical Manual,Books,4,129.43,517.72,20,103.54,414.18,Digital Wallet,CUST34983,Standard,EMP984,
TXN961D5E26C48E,2024-10-11,06:21:20,ST009,Chavezfurt Mall,North,PRD9022,Building Blocks,Toys,1,148.59,148.59,10,14.86,133.73,Debit Card,CUST68529,VIP,EMP453,
TXNEE4D10359FBD,2025-02-20,06:21:20,ST011,Amberfort Mall,West,PRD7274,Skincare Set,Beauty,2,490.58,981.16,5,49.06,932.1,Debit Card,CUST63841,Premium,EMP425,WELCOME15
TXN948F3BF50E94,2024-09-12,06:21:20,ST002,Boltonmouth Mall,North,PRD6439,Kitchen Set,Home & Garden,2,256.12,512.24,20,102.45,409.79,Credit Card,CUST67711,Premium,EMP638,
TXNFBC8035617BF,2024-01-08,06:21:20,ST005,Welchhaven Mall,South,PRD6546,Nail Polish,Beauty,1,240.05,240.05,10,24.01,216.04,Digital Wallet,CUST95175,Premium,EMP972,
TXNAE05881D2997,2025-07-04,06:21:20,ST016,Port Michael Mall,South,PRD4846,Perfume,Beauty,5,27.59,137.95,0,0.0,137.95,Cash,CUST39817,Premium,EMP544,
TXND16E03817D6A,2024-11-10,06:21:20,ST010,Harveyfurt Mall,Central,PRD5806,Curtains,Home & Garden,1,32.54,32.54,0,0.0,32.54,Cash,CUST59131,VIP,EMP249,
TXN46E8A4C8621E,2024-10-08,06:21:20,ST006,Jenniferchester Mall,South,PRD4945,Lamp,Home & Garden,1,308.65,308.65,15,46.3,262.35,Digital Wallet,CUST86435,Standard,EMP337,
TXN8E5CB4261446,2024-04-30,06:21:20,ST001,Port Jessica Mall,North,PRD3588,Car Cover,Automotive,4,451.59,1806.36,20,361.27,1445.09,Credit Card,CUST67898,Budget,EMP701,
TXNEC52FDBF0AFC,2024-10-21,06:21:20,ST010,Harveyfurt Mall,Central,PRD2747,Technical Manual,Books,2,499.69,999.38,15,149.91,849.47,Debit Card,CUST59986,Budget,EMP688,
TXN5E1F662359CE,2025-07-30,06:21:20,ST013,West Reginaldfort Mall,North,PRD9138,Fiction Novel,Books,3,13.97,41.91,0,0.0,41.91,Cash,CUST40162,Budget,EMP324,
TXN15C877A2B777,2025-05-10,06:21:20,ST005,Welchhaven Mall,South,PRD6061,Magazine,Books,1,452.67,452.67,0,0.0,452.67,Digital Wallet,CUST14373,Budget,EMP849,
TXN7772B951BF30,2024-06-11,06:21:20,ST014,Timothychester Mall,North,PRD6994,Remote Car,Toys,2,108.39,216.78,20,43.36,173.42,Cash,CUST31567,Budget,EMP944,SUMMER20
TXN29549CB42570,2024-07-25,06:21:20,ST003,Rodriguezhaven Mall,East,PRD7511,Jacket,Clothing,2,379.53,759.06,5,37.95,721.11,Cash,CUST21836,VIP,EMP114,
TXNBDA1B8D47A6C,2023-12-18,06:21:20,ST009,Chavezfurt Mall,North,PRD2775,Car Cover,Automotive,5,196.7,983.5,10,98.35,885.15,Debit Card,CUST71797,Premium,EMP734,BULK5
TXNBFA3AE22EEEF,2024-07-14,06:21:20,ST003,Rodriguezhaven Mall,East,PRD7689,Bicycle,Sports,4,455.6,1822.4,10,182.24,1640.16,Credit Card,CUST28320,Premium,EMP138,
TXN9CE36A823A93,2024-12-30,06:21:20,ST008,New Daniel Mall,Central,PRD7078,T-Shirt,Clothing,5,76.48,382.4,15,57.36,325.04,Digital Wallet,CUST86983,Standard,EMP524,
TXNF47C94847FC0,2024-12-27,06:21:20,ST002,Boltonmouth Mall,North,PRD4868,Perfume,Beauty,3,116.46,349.38,15,52.41,296.97,Cash,CUST23022,Budget,EMP657,SUMMER20
TXNBCD55F38201A,2023-10-15,06:21:20,ST007,East Seanborough Mall,North,PRD2501,Perfume,Beauty,1,475.02,475.02,15,71.25,403.77,Debit Card,CUST94109,Premium,EMP151,SAVE10
TXN53671519794E,2023-12-20,06:21:20,ST018,North Erika Mall,Central,PRD6383,Running Shoes,Sports,2,297.33,594.66,5,29.73,564.93,Debit Card,CUST88116,Premium,EMP383,SAVE10
TXNCA1471C00CB5,2023-12-25,06:21:20,ST004,Lake Michaelberg Mall,South,PRD4898,Cookbook,Books,1,74.58,74.58,10,7.46,67.12,Cash,CUST12068,Standard,EMP371,
TXN1D5E6510E49C,2024-10-18,06:21:20,ST003,Rodriguezhaven Mall,East,PRD9408,Hat,Clothing,4,229.65,918.6,10,91.86,826.74,Credit Card,CUST69245,Standard,EMP729,
TXN697FEBC460E8,2025-06-18,06:21:20,ST001,Port Jessica Mall,North,PRD7984,Technical Manual,Books,1,499.31,499.31,15,74.9,424.41,Credit Card,CUST74260,VIP,EMP175,SUMMER20
TXN86ED50A91E20,2025-04-27,06:21:20,ST005,Welchhaven Mall,South,PRD9984,Sofa,Home & Garden,3,315.92,947.76,20,189.55,758.21,Cash,CUST59925,Budget,EMP564,
TXNC937C75D92FC,2024-10-27,06:21:20,ST004,Lake Michaelberg Mall,South,PRD8046,Hat,Clothing,5,363.21,1816.05,5,90.8,1725.25,Digital Wallet,CUST39949,VIP,EMP447,WELCOME15
TXN690868B68EB2,2024-10-12,06:21:20,ST014,Timothychester Mall,North,PRD3500,Dress,Clothing,3,335.9,1007.7,10,100.77,906.93,Digital Wallet,CUST18799,Premium,EMP951,
TXNE89A678CF23F,2024-10-29,06:21:20,ST012,Campbellfurt Mall,North,PRD6400,Hat,Clothing,2,282.62,565.24,20,113.05,452.19,Credit Card,CUST63845,Budget,EMP994,
TXN25258DFC198E,2024-10-20,06:21:20,ST020,Lake Gary Mall,Central,PRD9313,Tablet,Electronics,3,182.31,546.93,20,109.39,437.54,Debit Card,CUST30280,VIP,EMP329,SUMMER20
TXN814E7416A0B4,2025-03-05,06:21:20,ST009,Chavezfurt Mall,North,PRD1430,Action Figure,Toys,5,120.82,604.1,15,90.61,513.49,Cash,CUST13794,Standard,EMP379,SUMMER20
TXNED060D909672,2024-07-26,06:21:20,ST006,Jenniferchester Mall,South,PRD2140,Action Figure,Toys,2,287.5,575.0,15,86.25,488.75,Debit Card,CUST92991,Premium,EMP193,SAVE10
TXN3A290C82ABC0,2024-09-02,06:21:20,ST011,Amberfort Mall,West,PRD2391,Skincare Set,Beauty,2,191.33,382.66,10,38.27,344.39,Credit Card,CUST30392,Standard,EMP872,
TXNBFCD16E74B7E,2025-07-04,06:21:20,ST015,West Audreyland Mall,South,PRD7785,Dress,Clothing,4,247.97,991.88,15,148.78,843.1,Cash,CUST38255,Premium,EMP453,
TXNC47786D1B5F6,2024-05-30,06:21:20,ST010,Harveyfurt Mall,Central,PRD1897,Car Charger,Automotive,1,118.05,118.05,20,23.61,94.44,Credit Card,CUST36794,Budget,EMP316,SUMMER20
TXN68F1CA9DB39F,2024-06-05,06:21:20,ST001,Port Jessica Mall,North,PRD3116,Action Figure,Toys,4,376.04,1504.16,5,75.21,1428.95,Digital Wallet,CUST79806,Standard,EMP612,
TXNCB3459026213,2025-06-28,06:21:20,ST013,West Reginaldfort Mall,North,PRD2275,Action Figure,Toys,1,223.75,223.75,15,33.56,190.19,Cash,CUST85465,VIP,EMP687,
TXN3CEA52A9E8E8,2025-05-30,06:21:20,ST004,Lake Michaelberg Mall,South,PRD3815,Perfume,Beauty,4,20.22,80.88,10,8.09,72.79,Digital Wallet,CUST57428,Premium,EMP547,SAVE10
TXN1844DFD97AC7,2024-11-02,06:21:20,ST003,Rodriguezhaven Mall,East,PRD4630,Hair Dryer,Beauty,4,436.56,1746.24,10,174.62,1571.62,Cash,CUST32037,Premium,EMP622,
TXN641455EC06FA,2025-02-07,06:21:20,ST012,Campbellfurt Mall,North,PRD5193,Dumbbell,Sports,2,125.77,251.54,5,12.58,238.96,Debit Card,CUST32740,Standard,EMP878,
TXNF29A86CEDFB2,2024-02-11,06:21:20,ST019,Lake Kristieborough Mall,North,PRD6295,GPS Device,Automotive,5,229.96,1149.8,20,229.96,919.84,Cash,CUST29786,VIP,EMP169,
TXN7229D5F2766A,2025-05-21,06:21:20,ST019,Lake Kristieborough Mall,North,PRD6085,Biography,Books,1,182.45,182.45,0,0.0,182.45,Digital Wallet,CUST69233,Premium,EMP158,
TXN46D1AC77E864,2024-06-02,06:21:20,ST003,Rodriguezhaven Mall,East,PRD8581,Hat,Clothing,5,301.1,1505.5,15,225.82,1279.68,Credit Card,CUST68947,Standard,EMP429,
TXNF2448432C56B,2025-01-08,06:21:20,ST015,West Audreyland Mall,South,PRD2381,Sofa,Home & Garden,1,407.37,407.37,10,40.74,366.63,Debit Card,CUST15130,Standard,EMP824,
TXNA6D053106AA8,2024-11-05,06:21:20,ST012,Campbellfurt Mall,North,PRD1857,Plant Pot,Home & Garden,3,199.83,599.49,10,59.95,539.54,Cash,CUST18639,Budget,EMP196,
TXNE6FB9665E68C,2024-09-12,06:21:20,ST020,Lake Gary Mall,Central,PRD3317,Biography,Books,2,173.35,346.7,20,69.34,277.36,Cash,CUST50662,VIP,EMP232,
TXNE90E444D2544,2023-11-08,06:21:20,ST013,West Reginaldfort Mall,North,PRD2531,Children Book,Books,3,408.46,1225.38,20,245.08,980.3,Digital Wallet,CUST76648,Budget,EMP118,
TXN82A333E93D64,2024-02-14,06:21:20,ST016,Port Michael Mall,South,PRD3538,Dumbbell,Sports,2,121.01,242.02,5,12.1,229.92,Credit Card,CUST48770,Premium,EMP619,BULK5
TXNF92ED832E4E4,2023-09-21,06:21:20,ST005,Welchhaven Mall,South,PRD3962,Building Blocks,Toys,5,194.59,972.95,5,48.65,924.3,Debit Card,CUST67366,Premium,EMP520,
TXND6FB353CA924,2024-04-13,06:21:20,ST010,Harveyfurt Mall,Central,PRD6070,Car Charger,Automotive,4,124.66,498.64,5,24.93,473.71,Digital Wallet,CUST35430,Budget,EMP794,WELCOME15
TXNDF1E893F1D2A,2024-11-28,06:21:20,ST017,East Ann Mall,Central,PRD4271,Technical Manual,Books,5,215.14,1075.7,5,53.79,1021.91,Debit Card,CUST42768,Premium,EMP756,
TXNC5F481301D9D,2024-08-28,06:21:20,ST017,East Ann Mall,Central,PRD5469,Hat,Clothing,1,149.68,149.68,5,7.48,142.2,Digital Wallet,CUST77286,Standard,EMP950,
TXNF60A93F6679A,2024-03-28,06:21:20,ST001,Port Jessica Mall,North,PRD7126,Car Cover,Automotive,4,36.1,144.4,20,28.88,115.52,Debit Card,CUST60615,Premium,EMP483,
TXN4F63ABA506E1,2024-07-05,06:21:20,ST011,Amberfort Mall,West,PRD8740,Hat,Clothing,2,77.42,154.84,10,15.48,139.36,Debit Card,CUST71487,VIP,EMP730,
TXND1A4AE3A1D33,2023-11-03,06:21:20,ST007,East Seanborough Mall,North,PRD9647,Tablet,Electronics,2,278.91,557.82,20,111.56,446.26,Digital Wallet,CUST24573,Budget,EMP343,
TXN0A2E122D7995,2023-10-01,06:21:20,ST020,Lake Gary Mall,Central,PRD9782,Tennis Racket,Sports,4,40.78,163.12,15,24.47,138.65,Credit Card,CUST92831,Standard,EMP835,
TXN5DE7E37055E1,2024-10-26,06:21:20,ST012,Campbellfurt Mall,North,PRD2402,Smart Watch,Electronics,2,289.63,579.26,5,28.96,550.3,Cash,CUST18870,Premium,EMP499,
TXN5D2E4E6C5E4E,2025-05-25,06:21:20,ST009,Chavezfurt Mall,North,PRD6649,Perfume,Beauty,1,184.98,184.98,0,0.0,184.98,Debit Card,CUST96127,Premium,EMP890,
TXNC46FB0C96050,2024-07-19,06:21:20,ST012,Campbellfurt Mall,North,PRD8612,Sofa,Home & Garden,5,175.89,879.45,5,43.97,835.48,Digital Wallet,CUST92802,Standard,EMP930,
TXN14FA1FB48A31,2024-11-24,06:21:20,ST007,East Seanborough Mall,North,PRD6170,Tablet,Electronics,1,397.64,397.64,0,0.0,397.64,Cash,CUST77552,VIP,EMP934,
TXN12D0D5B9ECF4,2024-04-29,06:21:20,ST007,East Seanborough Mall,North,PRD6438,Camera,Electronics,3,184.92,554.76,0,0.0,554.76,Cash,CUST26315,Budget,EMP547,WELCOME15
TXN0D450670F141,2024-09-12,06:21:20,ST016,Port Michael Mall,South,PRD5369,Board Game,Toys,4,190.0,760.0,20,152.0,608.0,Credit Card,CUST65640,Premium,EMP540,
TXN009FCEC9DC4A,2024-02-14,06:21:20,ST004,Lake Michaelberg Mall,South,PRD6021,Biography,Books,1,170.68,170.68,10,17.07,153.61,Digital Wallet,CUST88986,VIP,EMP270,
TXN07494342AC1D,2024-08-07,06:21:20,ST012,Campbellfurt Mall,North,PRD1939,Car Tire,Automotive,5,499.09,2495.45,10,249.54,2245.91,Credit Card,CUST97973,VIP,EMP472,
TXN0E8A03E153EA,2025-07-09,06:21:20,ST005,Welchhaven Mall,South,PRD1570,Sofa,Home & Garden,5,342.26,1711.3,15,256.69,1454.61,Debit Card,CUST18812,Standard,EMP897,
TXN7E30D6617BAB,2024-08-18,06:21:20,ST002,Boltonmouth Mall,North,PRD7077,Hair Dryer,Beauty,5,85.18,425.9,15,63.88,362.02,Cash,CUST68188,Premium,EMP687,
TXN923F0C7D36AF,2024-08-23,06:21:20,ST009,Chavezfurt Mall,North,PRD4048,Perfume,Beauty,2,480.65,961.3,0,0.0,961.3,Digital Wallet,CUST77861,VIP,EMP675,
